token,type
Boris,PERSON
Vasili,PERSON
Princess Helene,PERSON
Mortemart,PERSON
Prince Vasili,PERSON
Masha,PERSON
Olga,PERSON
Anna Mikhaylovna,PERSON
Ochakov,PERSON
Catherine,PERSON
Andrew Bolkonski,PERSON
Ilya,PERSON
Again Pierre,PERSON
Lucca,PERSON
Nicholas,PERSON
Bruin,PERSON
Marya Dmitrievna,PERSON
Nicholas Rostov,PERSON
Cyril Vladimirovich Bezukhov,PERSON
Vera,PERSON
Taras,PERSON
Annette Scherer,PERSON
Mademoiselle Bourienne,PERSON
Suvorov,PERSON
Lise,PERSON
Kutuzov,PERSON
Mlle Scherer,PERSON
Dolokhov,PERSON
Marya Lvovna Karagina,PERSON
Malta,PERSON
Pierre,PERSON
Prince Vasili Kuragin,PERSON
Baron Funke,PERSON
Jacobin,PERSON
Catherine Semenovna,PERSON
Frederick,PERSON
Sterne,PERSON
Princess Mary,PERSON
Saviour,PERSON
Marya Dmitrievna Akhrosimova,PERSON
Bonaparte,PERSON
Cyril Vladimirovich,PERSON
Monsieur Pierre,PERSON
Helene,PERSON
Dry Madeira,PERSON
Petya,PERSON
Daniel Cooper,PERSON
Dmitri,PERSON
Peter Nikolaevich,PERSON
Hippolyte,PERSON
Dmitri Onufrich,PERSON
Shinshin,PERSON
Julie,PERSON
Bory,PERSON
Princess Anna Mikhaylovna,PERSON
Jacob,PERSON
Kuragin,PERSON
Nataly Shinshina,PERSON
Anatole Kuragin,PERSON
Lorrain,PERSON
Mimi,PERSON
Anatole,PERSON
Tolstoy,PERSON
God,PERSON
Stevens,PERSON
Nicholas Bolkonski,PERSON
Natasha,PERSON
Caesar,PERSON
Marya Ivanovna Dolokhova,PERSON
Julie Karagina,PERSON
Rousseau,PERSON
Pitt,PERSON
Michael Kutuzov,PERSON
Michael Ilarionovich,PERSON
Whom,PERSON
Uncle,PERSON
Louis XV,PERSON
Mikhelson,PERSON
Bolkonski,PERSON
Andrew,PERSON
Berg,PERSON
Michael Ianovich,PERSON
Michael Ivanovich,PERSON
Antichrist,PERSON
Anna Pavlovna,PERSON
Moreau,PERSON
Anna Pavlovna Scherer,PERSON
Bezukhov,PERSON
Dussek,PERSON
Prince Hippolyte,PERSON
Kitty Odyntsova,PERSON
Mary,PERSON
Suvorovs,PERSON
Michael Ilarionovich Kutuzov,PERSON
Count Bezukhov,PERSON
Prince Andrew,PERSON
Achilles,PERSON
Papa,PERSON
Lise Meinen,PERSON
Dmitri Vasilevich,PERSON
